ID Book,Title,Author,Printing Place,Printing Year,Pub. Place,Pub. Date,Pages,OCLC ID,ULI Entry,Source,Go to External Site,Catalog Information,Content,MARC record,Tags
7149,מועדי ה',"נג’אר, יהודה בן יעקב",ליוורנו,תקסח,Levorno,1808,307,,,,,"משה בן יעקב, -- מקוצי.ספר מצוות גדול","פי' על הסמ""ג",,"סמ""ג;ספר המצוות;פירוש"
7150,"מהר""ם ברבי [ב""ח]","ברבי, מאיר בן שאול",דיהרנפורט,תקמו - פראג תקנג,Dyhernfurth,1786,435,,,,,"296.584 -- Talmud Bavli - Hiddushim; Pilpulim - Aharonim, 1600 -.","על ש""ס",,גאונים;סוגיות
7151,מילי דברכות - חלק א-ב,"גרודזנסקי, צבי הירש, 1857-1947",סט. לואיס -ניו יארק,תרפג תשה,Saint Louis,1923,427,,,,,296.584(BERAKHOT) -- Talmud Bavli - Hiddushim; Pilpulim - Berakhot.,על מס' ברכות,,ברכות;מסכת
7152,מסורת סייג לתורה,"אבולעפיה, מאיר בן טודרוס, הלוי, 1170-1244",פירינצי,תקי,Prinitza,1750,193,,,,,221.141 -- Bible - Masorah.,"על המסורה (חסרות ויתרות) בסדר א""ב",,"מסורה;ראשונים;רמ""ה;תנ""ך"
7153,מחנה אהרן,"חיון, אהרן בן אהרן",ליוורנו,תקנה,Levorno,1795,81,,,,,"ג'רמון, חיים בן נהוראי. -- צדקה לחיים",הגהות על ספר הזוהר.,,זהר;קבלה
7154,ויקהל משה,"גרף, משה בן מנחם",זאלקווי,תקא,Zolkow,1741,141,,,,,296.655 -- Qabbalistic works after 1675.,עניני קבלה,,קבלה
7155,מים עמוקים,"סירקין, מרדכי בן נחמן, נפ’ 1765",זאלקווא,תקכ,Zholkva,1760,361,,,,,"296.584 -- Talmud Bavli - Hiddushim; Pilpulim - Aharonim, 1600 -.","על ש""ס גפ""ת",,"גאונים;מהרש""א"
7156,"מחזיקי הדת [ב""ח]","ליפשיץ, יעקב בן אליעזר ליפמן, 1838-1921",פיעטרקוב,תרסג,Peitrikow,1903,106,,,,,296.682 -- Orthodox Judaism (Incl. World Aggudat Yisrael),"בענין נחיצות התייסדות חברות ""מחזיקי הדת""",,חיזוק הדת;מוסר
7157,מאמר השכל,אליעזר בן נתן,ווין,תקעו,Vienna,1816,129,,,,,296.51 -- Taryag mizwot,"טעמים על תרי""ג מצות עפ""י פשט וסוד",,"ראב""ן;ראשונים;תרי""ג מצוות"
7158,חיבת הארץ,"כהנא, ברוך דוד",ירושלים,תרנז,Jerusalem,1897,161,,,,,"E041.1 -- Sanctity of Eretz Yisrael, Laudation of Eretz Yisrael, Connection of Am Yisrael to Eretz Yisrael, Commandment to settle Eretz Yisrael - prior to 1948",על מעלת ארץ ישראל וקדושתה,,ארץ ישראל;ישוב הארץ
7159,ברכת הארץ,ברוך הכהן כהנא,ירושלים,תרסד,Jerusalem,1904,187,,,,,"E041.1 -- Sanctity of Eretz Yisrael, Laudation of Eretz Yisrael, Connection of Am Yisrael to Eretz Yisrael, Commandment to settle Eretz Yisrael - prior to 1948",על מעלת ארץ ישראל,,ארץ ישראל;ישוב הארץ
7160,"זבחי אפרים [ב""ח]","לאפ, אפרים דב בן אלחנן צבי",פיעטרקוב,,Peitrikow,1818,451,,,,,296.584(ZEVAHIM) -- Talmud Bavli - Hiddushim; Pilpulim - Zevahim.,על מס' זבחים,,זבחים;מסכת
7161,עצי בשמים,"מושקט, ישעיה בן יעקב משה",ווארשא,תרנו,Warsaw,1896,169,,,,,"296.584 -- Talmud Bavli - Hiddushim; Pilpulim - Aharonim, 1600 -.","על משניות, ש""ס, ושלחן ערוך או""ח ויו""ד",,גאונים;הגהות;משניות;סוגיות
7162,חנוכת הבית לדוד,"תווינא, שלמה בן עאבד, מכלכתא, 1856-1913",כלכתה,תרמה,Calcutta,1885,233,,,,,296.384.1 -- Hanukka - Comprehensive works.,דרשות ופלפולים לחנוכה,,דרשות;הלכה;חנוכה
7163,חומת יהושע,"שורצברג, יהושע",ווארשא,תרלז,Warsaw,1877,209,,,,,"296.563 -- Shulhan aruch - Yore dea - Specific halakhot, including comprehensive works on kashruth, forbidden food.","על יו""ד הל' מליחה",,גאונים;הלכה;יורה דעה;מליחה
7164,שער פתח הגן,"ריינהאלד, אברהם אבוש בן חנוך הניך",אנטווערפן,תרפו,Anterwp,1926,17,,,,,296.655 -- Qabbalistic works after 1675.,עניני קבלה,,גאונים;דרשות;קבלה
7165,השוהם - חלק א,"שפירא, אליעזר הכהן",ירושלים,תרפח,Jerusalem,1928,17,,,,,,"כללים וביאורים בדברי הזוהר הק' ובכתבי אריז""ל עפ""י קבלה עפ""י סדר א""ב",,"אדמו""ר הזקן;חבד;חסידות;ליקוטים;קבלה"
7166,זכרון בספר,"בורנשטין, מרדכי שרגא פיבל בן יעקב קופל",קראקא,תרמו,Cracow,1886,65,,,,,296.563.7 -- Shulhan aruch - Yore dea - Other halakhot.,"קובץ תשובות מגאוני הדור בענין האיסור על הציקארי""ע הנעשית בפאבריקע""ן של נכרים,",,"הכשר;פולמוס;ציקארי""ע;קפה"
7167,זוהר הלבנה,"פרנקל, דוד יחזקאל בן נחום יצחק",טשערנאוויץ,תרלד,Chernivtsi,1874,141,,,,,"296.311.6 -- Jewish prayer books, siddurim - Commentaries.","על קידוש לבנה, דיני עלינו וקדיש, וקצת חידושי אגדות",,גאונים;סידור;פירוש;קידוש לבנה
7168,"זבחי צדק [ג""ח]","זבדסקי, מיכאל זאב",פיעטרקוב,תרפט - תרצג,Peitrikow,1929,335,,,,,296.584(QODASHIM) -- Talmud Bavli - Hiddushim; Pilpulim - Qodashim.,"על ש""ס סדר קדשים",,בכורות;גאונים;מנחות;מסכת;קדשים;תמורה
7169,זוודין לאורחא ותיקון הנפש,"שורץ, משה בן עזריאל",גראסווארדיין,תרצו,Oradea Mare,1936,253,,,,,"296.563.5 -- Avelut, mourning, burial - Halakha.","על דיני ומנהגי י""ב חודש אחר הנפטר, ויום היארצייט, מלוקט מש""ס ומדרשי חז""ל וספרי הקבלה",,אבילות;גאונים;הלכה;יאהרצייט;יורה דעה;קבורה
7170,זכר לחגיגה,"רינהולד, חיים משה בן מרדכי צבי",לעמבערג,תרנ,Lemberg,1890,285,,,,,296.584(HAGIGA) -- Talmud Bavli - Hiddushim; Pilpulim - Hagiga.,על מס' חגיגה,,חגיגה;מסכת
7171,תעלמות חכמה,"דלמדיגו, יוסף שלמה בן אליהו, מקנדיה, 1591-1655",בסיליאה,שפט,Basiliah,1629,243,,,,,,בענין חכמת הקבלה,,קבלה
7172,כבוד יום טוב,יום טוב ליפמן בן משה שלמה,ווילנא,תקעז,Vilnius,1817,241,,,,,"296.451 -- Sermons on the weekly sections of the law, Derashot le-Shabatot.",על התורה בדרך דרוש,,"דרשות;עה""ת"
7173,אמרי נעם,"הלוי, הלל בן מאיר, מפאריטש",ווילנא,תרלו,Vilnius,1876,41,,,,,,"מאמרי חסידות על דרך חב""ד",,"הלל מפאריטש;חב""ד;חסידות;מאמרים"
7174,תהלה ותפארת,"מנגי, מרדכי צבי בן בנימין",ווילנא,תרכה,Vilnius,1865,65,,,,,"296.311.6 -- Jewish prayer books, siddurim - Commentaries.","ביאור על סדר התפלה, מלוקט מספרי הדרוש, וקצת מהמחבר ובנו",,גאונים;סידור;פירוש
7175,שארית ישראל,"יפה, ישראל בן חיים",קלויזענבורג,תרפד,Klosenberg,1924,145,,,,,,"מאמרי חסידות על דרך חב""ד",,דרשות;חבד;חסידות
7176,מאזני צדק,"טורש, דובריש בן אלכסנדר זושה, 1863-",ווארשא,תרסה,Warsaw,1905,357,,,,,"296.192 -- Jewish philosophy, theology and religion - 19th (nineteenth) century.","ביאורים על אגדות חז""ל ע""ד פילוסופיה וחקירה",,אמונה;השארת הנפש;מוסר;פילוסופיה
7177,סניגור,"צויפל, אליעזר צבי בן דוד, 1815-1888",ווארשא,תרמה,Warsaw,1885,311,,,,,296.212 -- Works by non Jews defending the Oral Law.,מליץ יושר ופרקליט לעם ישראל ותורתו מול מגיד פשעיהם,,דע מה שתשיב;נגד ריפורם;סניגור
7178,נר מצוה,"ולק, מנחם יוסף בן עזריאל, הכהן, 1831-1911",פיעטרקוב,תרסז,Peitrikow,1907,437,,,,,מצוות -- מנין,"על ס' המצות להרמב""ם",,"מצוות;ספר המצוות לרמב""ם;רמב""ם;תרי""ג מצוות"
7179,,,,,,,,,,,,,,,
7180,נר מצוה - חלק ב,"סיד, יהודה בן מנוח",שאלוניקי,תקע - עא,Thessaloniki,1881,251,,,,,מצוות -- מנין,"על ספר המצות להרמב""ם",,כללים
7181,הנודע ביהודה ומשנתו,"גלמן, אריה ליב, 1887-1973",ירושלים,תשכב,Jerusalem,1962,385,,,,,,"תולדות הג""ר יחזקאל הלוי לאנדא ז""ל בעל שו""ת ""נודע ביהודה""",,ביוגרפיה;נודע ביהודה;תולדות
7182,נתיבות עולם,"גלנטי, שמואל בן מרדכי, 1750-1810",לבוב,תקסז,Lvov,1807,317,,,,,"296.512 -- Moshe ben Yaaqov, of Coucy,13th (thirteenth) century, Sefer mizwot gadol, SeMaG.","קיצור ס' הסמ""ג עם ביאורים",,"מצוות;סמ""ג;פירוש"
7183,נרות שלמה,"פישר, שלמה אלכסנדר בן אהרן, 1852-1932",ירושלים,תש,Jerusalem,1940,129,,,,,"296.584 -- Talmud Bavli - Hiddushim; Pilpulim - Aharonim, 1600 -.","בענין מעשה המנורה (במס' מנחות דף פ""ח), ועניני חנוכה (במס' שבת פ' במה מדליקין),",,חנוכה;מנורה;סוגיות
7184,אילת השחר,"רבינוביץ, בנימין דוד",ווארשא,תרלט,Warsaw,1879,33,,,,,חנכה -- דרשות,מאמרים לחנוכה.,,דרשות;חנוכה;מועדים
7185,נר תמיד,"גינצבורג, זאב בן קלונימוס",ווארשא,תרמז,Warsaw,1887,119,,,,,296.562.6 -- Hanukka - Halakha.,"על עניני חנוכה,",,דרשות;חנוכה;מועדים
7186,נשמת צבי,"צבי הירש בן דוד, מגלינה",לעמבערג,תרמדתרמז,Lemberg,1884,353,,,,,"296.451 -- Sermons on the weekly sections of the law, Derashot le-Shabatot.","חלק א' על התורה בדרך חסידות, וחלק ב' על נ""ך",,"עה""ת"
7187,סוד ברית יצחק,"יצחק, מקריסנפולי",זאלקווא,תקנט,Zholkva,1799,217,,,,,296.655 -- Qabbalistic works after 1675.,"על התורה (ס' בראשית) ע""ד סוד",,בראשית;קבלה
7188,סמוכים לעולם,"הרטמן, מנחם מנדל",לעמבערג,תרסא,Lemberg,1901,107,,,,,296.655 -- Qabbalistic works after 1675.,"הדרנים על ששה סדרי משנה, לנעץ כל מסכת תחילתה בסופה ע""ד פרד""ס",,הדרנים;משניות;קבלה
7189,עטרת יוסף [רזין דרזין],"יוסף בן דב בר, אב""ד ליסקובה",ירושלים,תרנט,Jerusalem,1899,189,,,,,שמעון צבי בן מאיר ליב,"עניני קבלה בשם ""רזין דרזין""",,קבלה
7190,סדור תפלה ישרה,מרדכי מקרעמניץ,ראדוויל,תקפ,Rodville,1820,487,,,,,,"כולל כל תפלות השנה עפ""י נוסח האריז""ל, עם דינים ומנהגים מפוסקים אחרונים",,גאונים;חסידות;סידור;ספרד;ראדוויל
7191,"נחל קדומים [ב""ח]","לובצקי, אריה נחום",פיעטרקוב,תרצא,Peitrikow,1931,381,,,,,222.7 -- Bible. Pentateuch (Tora) - Commentaries.,על התורה,,"עה""ת"
7192,נר מצוה - שביתת שבת,"הלוי, יהושע פלק מנחם",לאדז,תרחצ,Lodz,1938,201,,,,,ערובין (הלכה),"על ל""ט מלאכות של שבת",,"ל""ט מלאכות;שבת"
7193,בית ועד,"ברודא, אברהם אהרן בן שלום",ווילנא,תקצב,Vilnius,1832,71,,,,,"296.554 -- Shulhan aruch - Abridgements, Kizzur Shulhan aruch.",בענין מצות העשויות בעמידה או בישיבה,,הלכה;מצוות;מצות העשויות בעמידה
7194,תפארת מנחם,"שפרניק, מנחם מנדל בן גבריאל",לבוב,תרל,Lvov,1870,195,,,,,"296.531 -- Moshe ben Maimon (Maimonides) - Mishne tora, ha-yad ha-hazaqa - Commentaries.","על הרמב""ם הל' אישות",,"ברירה;ברכות;חולין;מסכת;סוגיות;רמב""ם"
7195,נטע שעשועים,"בוירסקי, נתן נטע בן תנחום",ווילנא,תרסא,Vilnius,1901,89,,,,,"296.584 -- Talmud Bavli - Hiddushim; Pilpulim - Aharonim, 1600 -.","על סוגיות הש""ס",,סוגיות
7196,נזיר שמשון,"סיניגליא, יעקב שמשון שבתי",פיסא,תקמג,Pisa,1783,373,,,,,296.823 -- Mishna - Commentaries,על משניות,,משניות
7197,נחלת עזריאל,"פינחס בן עזריאל, הלוי",הוראדנא,תקעז,Grodno,1817,245,,,,,"296.584 -- Talmud Bavli - Hiddushim; Pilpulim - Aharonim, 1600 -.","על ש""ס",,"חולין;מסכת;נדה;עבודה זרה;עה""ת"
7198,נהורא שרגא,"גלבפיש, שרגא פיבל",ווארשא,תרנד,Warsaw,1894,221,,,,,,על מס' שבועות,,מסכת;שבועות
7199,מרפא לשון,"ארדיט, רפאל בן שלמה",שאלוניקי,תקפו,Thessaloniki,1826,101,,,,,דרשות -- חכמי המזרח,"על מס' שבועות, על הרמב""ם, וב' דרשות",,מסכת;שבועות
7200,נשמת חיים,"רינהולד, חיים משה בן מרדכי צבי",מונקאטש,תרעג,Munkatch,1913,309,,,,,296.823 -- Mishna - Commentaries,על משניות סדר זרעים,,זרעים;משניות
7201,מלחמות אלהים,"אילובי, יששכר בר",בערלין,תרעד,Berlin,1914,241,,,,,"Illoway, Henry, -- 1848-1932","שו""ת ומכתבים שונים",,"חתם סופר;נגד ריפורים;פולמוס;שו""ת;תלמוד חתם סופר"
7202,פרדס הבינה [מטעי משה],"משה בן אהרן, מסלנט",אמסטרדאם,תרב,Amsterdam,1842,241,,,,,,"דרשות ע""ד הגיון ומחקר",,"דרשות;שו""ת"
7203,פקוח נפש,"פיבלזון, אליהו מאיר בן ברוך, תרכ""ז-תרפ""ח",,תרצד,,1934,215,,,,,קדוש השם -- הלכה,"על הלכות הנוגע לפקוח נפש, ולחולה שאין בו סכנה, וקידוש ה'",,הלכה;חולה;פקוח נפש;קידוש השם
7204,כרוב ממשח,"אלפסי, שלמה בן מסעוד רפאל",ליוורנו,תריט,Levorno,1859,299,,,,,,"על ש""ס, כללי הש""ס, ועל הרמב""ם.",,"גאונים;כללי הש""ס;רמב""ם"
7205,מעיל שמואל,"אוטולנגו, שמואל דוד בן יחיאל, 1718-",ויניציאה,תסה,Venice,1705,315,,,,,296.657 -- Religious ethics according to the qabbala.,"קיצור ומפתח לספר ""שני לוחות הברית""",,מוסר;קיצור שלה
7206,מעיין גנים,"טרני, עקיבא בן אליהו די",מיץ,תקכז,Metz,1767,203,,,,,296.584(QODASHIM) -- Talmud Bavli - Hiddushim; Pilpulim - Qodashim.,על מס' זבחים ומנחות,,זבחים;מנחות;מסכת
7207,"מקראי קודש ח""א",צבי הירש גראדזינסקי,ניו יארק,תרצו,New York City,1936,255,,,,,קריאת התורה -- הלכה,על הל' קריאת התורה,,הלכה;קריאת התורה
7208,"מקראי קודש ח""ב",צבי הירש גראדזינסקי,ניו יארק,תרצז,New York City,1937,305,,,,,קריאת התורה -- הלכה,על הל' קריאת התורה,,הלכה;קריאת התורה
7209,"מקראי קודש ח""ג",צבי הירש גראדזינסקי,ניו יארק,תשא,New York City,1941,355,,,,,קריאת התורה -- הלכה,על הל' קריאת התורה,,הלכה;קריאת התורה
7210,מחזה מול מחזה,"דיק, איזיק מאיר, 1814-1893",ווארשא,תרכא,Warsaw,1861,51,,,,,"H7 -- Hebrew satire, wit and humor.",תיאור הליכות הנעורים בפורים,,מחזה;פורים
7211,מזור ותרופה,"שטרן, אברהם בן יצחק",בילגורייא,תרע,Bilgoraj,1910,67,,,,,"Y614 -- Public health; Medical care - Jewish, Judaism",עניני מוסר וחכמת הרפואה,,גאונים;מוסר
7212,עטרת תפארת,"שור, לוי יצחק דב",בראדי,תרעב,Bradi,1912,153,,,,,"שור, מנחם מנדל","דרשות לשבת הגדול ושבת שובה ע""ד פלפול וחריפות",,דרשות
7213,"עין אליהו ח""א","שיק, אליהו בן בנימין",ווילנא,תרכט - תרלד,Vilnius,1869,447,,,,,,"על אגדות הש""ס בעין יעקב",,"אגדות הש""ס;עין יעקב"
