שם הספר,שנת הדפסה,מחבר,מקום הדפסה,קטגורייה,מקור,textFileURL,nikudMetegFileURL,OCRDataURL,ocrFeDir,שם הספר [אנגלית],קטגורייה [אנגלית],מחבר [אנגלית],מקום הדפסה [אנגלית],underwentBerelUnflagging,fileName
אחיעזר חלק חלק ג,1922,רבי חיים עוזר גרודזינסקי,וילנא,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/achiezer3/achiezer3__text_files.zip,https://files.dicta.org.il/achiezer3/achiezer3__nikud_meteg_files.zip,https://files.dicta.org.il/achiezer3/achiezer3__ocr_data_html_files.zip,achiezer3_EGT,Achiezer part 3,Responsa,Chaim Ozer Grodzinski,Vilna,,achiezer3
אפיקי ים חלק א,1905,רבי יחיאל מיכל רבינוביץ,וילנא,ספרי מערכות ועניינים,ספריית דיקטה,https://files.dicta.org.il/afikeiyam1/afikeiyam1__text_files.zip,https://files.dicta.org.il/afikeiyam1/afikeiyam1__nikud_meteg_files.zip,https://files.dicta.org.il/afikeiyam1/afikeiyam1__ocr_data_html_files.zip,afikeiyam1_EGT,Afikei Yam part 1,Chiddushim by Topic,Rabbi Yechiel Michal Rabinowitz,Vilna,,afikeiyam1
אגודת אזוב אורח חיים,1885,רבי משה זאב וולף מרגליות,וילנא,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/aggudatezovorachchayim/aggudatezovorachchayim__text_files.zip,https://files.dicta.org.il/aggudatezovorachchayim/aggudatezovorachchayim__nikud_meteg_files.zip,https://files.dicta.org.il/aggudatezovorachchayim/aggudatezovorachchayim__ocr_data_html_files.zip,aggudatezovorachchayim,Aggudat Ezov Orach Chayim,Responsa,Rabbi Moshe Ze'ev Wolf of Margaliot,Vilna,,aggudatezovorachchayim
אגודת אזוב יורה דעה,1885,רבי משה זאב וולף מרגליות,וילנא,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/aggudatezovyorehdeah/aggudatezovyorehdeah__text_files.zip,https://files.dicta.org.il/aggudatezovyorehdeah/aggudatezovyorehdeah__nikud_meteg_files.zip,https://files.dicta.org.il/aggudatezovyorehdeah/aggudatezovyorehdeah__ocr_data_html_files.zip,aggudatezovyorehdeah,Aggudat Ezov Yoreh Deah,Responsa,Rabbi Moshe Ze'ev Wolf of Margaliot,Vilna,,aggudatezovyorehdeah
אלפא ביתא,1878,ר' צבי הירש מנדבורנא,וורשה,ספרי חסידות,ספריית דיקטה,https://files.dicta.org.il/alfabeita/alfabeita__text_files.zip,https://files.dicta.org.il/alfabeita/alfabeita__nikud_meteg_files.zip,https://files.dicta.org.il/alfabeita/alfabeita__ocr_data_html_files.zip,alfabeita_EGT,Alfa Beita,Sifrei Chasidut,R. Zvi Hirsch of Ndvorna,Warsaw,,alfabeita
עמוד העבודה,1884,ברוך בן אברהם מקוסוב,יוזפוב,ספרי חסידות,ספריית דיקטה,https://files.dicta.org.il/amudhaavodah/amudhaavodah__text_files.zip,https://files.dicta.org.il/amudhaavodah/amudhaavodah__nikud_meteg_files.zip,https://files.dicta.org.il/amudhaavodah/amudhaavodah__ocr_data_html_files.zip,amudhaavodah,Amud haAvodah,Sifrei Chasidut,"Kasber, Baruch",Jozefow,,amudhaavodah
ערוך לנר ראש השנה,1875,הרב יעקב יוקב אֶטלינגר,ווארשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/aruchlanerroshhashanah/aruchlanerroshhashanah__text_files.zip,https://files.dicta.org.il/aruchlanerroshhashanah/aruchlanerroshhashanah__nikud_meteg_files.zip,https://files.dicta.org.il/aruchlanerroshhashanah/aruchlanerroshhashanah__ocr_data_html_files.zip,aruchlanerroshhashanah_EGT,Aruch Laner Rosh Hashanah,Acharonim on Talmud Bavli,Yaakov Etlinger,Warsaw,,aruchlanerroshhashanah
ערוך לנר סנהדרין,1875,הרב יעקב יוקב אֶטלינגר,ווארשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/aruchlanersanhedrin/aruchlanersanhedrin__text_files.zip,https://files.dicta.org.il/aruchlanersanhedrin/aruchlanersanhedrin__nikud_meteg_files.zip,https://files.dicta.org.il/aruchlanersanhedrin/aruchlanersanhedrin__ocr_data_html_files.zip,aruchlanersanhedrin_EGT,Aruch Laner Sanhedrin,Acharonim on Talmud Bavli,Yaakov Etlinger,Warsaw,,aruchlanersanhedrin
אספת גאונים,1895,"רבי יעקב מלובלין, רבי העשיל מקראקא, חלקת מחוקק",לובלין,"שו""ת",,https://files.dicta.org.il/asefatgeonim/asefatgeonim__text_files.zip,https://files.dicta.org.il/asefatgeonim/asefatgeonim__nikud_meteg_files.zip,https://files.dicta.org.il/asefatgeonim/asefatgeonim__ocr_data_html_files.zip,asefatgeonim_EGT,Asefat Geonim,Responsa,"rabbi yaakov lublin, rabbi heschel mikraka, Chelkat Mechokek",Lublin,,asefatgeonim
אשר לשלמה,1906,רבי שלמה בן משה אבן דנאן,ירושלים,"שו""ת",,https://files.dicta.org.il/asherlishlomo/asherlishlomo__text_files.zip,https://files.dicta.org.il/asherlishlomo/asherlishlomo__nikud_meteg_files.zip,https://files.dicta.org.il/asherlishlomo/asherlishlomo__ocr_data_html_files.zip,asherlishlomo_EGT,Asher LiShlomo,Responsa,Shlomo Ibn Danan,Jerusalem,,asherlishlomo
עטרת חכמים חלק א,1866,הרב ברוך פרנקל תאומים,יוזפוב,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/ateretchachamim1/ateretchachamim1__text_files.zip,https://files.dicta.org.il/ateretchachamim1/ateretchachamim1__nikud_meteg_files.zip,https://files.dicta.org.il/ateretchachamim1/ateretchachamim1__ocr_data_html_files.zip,ateretchachamim1,Ateret Chachamim part 1,Responsa,"Frankel-Teumim, Boruch",Jozefow,,ateretchachamim1
עטרת חכמים חלק ב,1866,הרב ברוך פרנקל תאומים,יוזפוב,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/ateretchachamim2/ateretchachamim2__text_files.zip,https://files.dicta.org.il/ateretchachamim2/ateretchachamim2__nikud_meteg_files.zip,https://files.dicta.org.il/ateretchachamim2/ateretchachamim2__ocr_data_html_files.zip,ateretchachamim2,Ateret Chachamim part 2,Acharonim on Talmud Bavli,"Frankel-Teumim, Boruch",Jozefow,,ateretchachamim2
אתוון דאורייתא,1891,ר' יוסף ענגיל,לבוב,ספרי מערכות ועניינים,ספריית דיקטה,https://files.dicta.org.il/atvandeoraita/atvandeoraita__text_files.zip,https://files.dicta.org.il/atvandeoraita/atvandeoraita__nikud_meteg_files.zip,https://files.dicta.org.il/atvandeoraita/atvandeoraita__ocr_data_html_files.zip,atvandeoraita_EGT,Atvan De-Oraita,Chiddushim by Topic,Rabbi Yosef Engil,Lʹviv,,atvandeoraita
עצי ברושים,1903,הרב שלמה כהן,וילנא,"שו""ת",,https://files.dicta.org.il/atzeibroshimversion1/atzeibroshimversion1__text_files.zip,https://files.dicta.org.il/atzeibroshimversion1/atzeibroshimversion1__nikud_meteg_files.zip,https://files.dicta.org.il/atzeibroshimversion1/atzeibroshimversion1__ocr_data_html_files.zip,atzeibroshimversion1,Atse beroshim,Responsa,harav shlomo cohen,Vilnius,,atzeibroshimversion1
עצמות יוסף על קידושין,1883,רבי יוסף אבן עזרא,ווארשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/atzmotyosefkiddushin/atzmotyosefkiddushin__text_files.zip,https://files.dicta.org.il/atzmotyosefkiddushin/atzmotyosefkiddushin__nikud_meteg_files.zip,https://files.dicta.org.il/atzmotyosefkiddushin/atzmotyosefkiddushin__ocr_data_html_files.zip,atzmotyosefkiddushin_EGT,Atzmot Yosef (Kiddushin),Acharonim on Talmud Bavli,Josef ben Isaac ibn Ezra,Warsaw,,atzmotyosefkiddushin
אב בחכמה,1927,"יודלביץ, אברהם אהרן בן בנימין בונם",ניו יורק,ספרי הלכה ומנהג,ספריית דיקטה,https://files.dicta.org.il/avbehokhmah/avbehokhmah__text_files.zip,https://files.dicta.org.il/avbehokhmah/avbehokhmah__nikud_meteg_files.zip,https://files.dicta.org.il/avbehokhmah/avbehokhmah__ocr_data_html_files.zip,avbehokhmah,Av be-hokhmah,Halachah and Minhagim,"Yudelovits, Avraham Aharon ben B",New York,,avbehokhmah
אבקת רוכל,1859,רבי יוסף בן אפרים קארו,לייפציג,"שו""ת",,https://files.dicta.org.il/avkatrochel/avkatrochel__text_files.zip,https://files.dicta.org.il/avkatrochel/avkatrochel__nikud_meteg_files.zip,https://files.dicta.org.il/avkatrochel/avkatrochel__ocr_data_html_files.zip,avkatrochel_EGT,Avkat Rochel,Responsa,Joseph Karo,Leipzig,,avkatrochel
אבני האפוד,1913,רבי דוד פיפאנו,סופיה,"שו""ת",,https://files.dicta.org.il/avneihaephod/avneihaephod__text_files.zip,https://files.dicta.org.il/avneihaephod/avneihaephod__nikud_meteg_files.zip,https://files.dicta.org.il/avneihaephod/avneihaephod__ocr_data_html_files.zip,avneihaephod_EGT,Avnei HaEphod,Responsa,Rabbi David Pipano,,,avneihaephod
אבני מילואים,1860,רבי אריה לייב הכהן,הלברשטאט,"שו""ת",,https://files.dicta.org.il/avneimiluim/avneimiluim__text_files.zip,https://files.dicta.org.il/avneimiluim/avneimiluim__nikud_meteg_files.zip,https://files.dicta.org.il/avneimiluim/avneimiluim__ocr_data_html_files.zip,avneimiluim_EGT,Avnei Milu'im,Responsa,rabbi aryeh leib hacohen,Halberstadt,,avneimiluim
אבני נזר חושן משפט,1934,רבי אברהם בורנשטיין,פיעטרקוב,"שו""ת",,https://files.dicta.org.il/avneinezerchoshenmishpat/avneinezerchoshenmishpat__text_files.zip,https://files.dicta.org.il/avneinezerchoshenmishpat/avneinezerchoshenmishpat__nikud_meteg_files.zip,https://files.dicta.org.il/avneinezerchoshenmishpat/avneinezerchoshenmishpat__ocr_data_html_files.zip,avneinezerchoshenmishpat_EGT,Avnei Nezer Choshen Mishpat,Responsa,Avraham Borenstein,Piotrkow,,avneinezerchoshenmishpat
אבני נזר אבן העזר,1926,רבי אברהם בורנשטיין,לאדז,"שו""ת",,https://files.dicta.org.il/avneinezerevenhaezer/avneinezerevenhaezer__text_files.zip,https://files.dicta.org.il/avneinezerevenhaezer/avneinezerevenhaezer__nikud_meteg_files.zip,https://files.dicta.org.il/avneinezerevenhaezer/avneinezerevenhaezer__ocr_data_html_files.zip,avneinezerevenhaezer_EGT,Avnei Nezer Even Haezer,Responsa,Avraham Borenstein,Lodz,,avneinezerevenhaezer
אבני נזר יורה דעה,1913,רבי אברהם בורנשטיין,פיעטרקוב,"שו""ת",,https://files.dicta.org.il/avneinezeryorehdeah/avneinezeryorehdeah__text_files.zip,https://files.dicta.org.il/avneinezeryorehdeah/avneinezeryorehdeah__nikud_meteg_files.zip,https://files.dicta.org.il/avneinezeryorehdeah/avneinezeryorehdeah__ocr_data_html_files.zip,avneinezeryorehdeah_EGT,Avnei Nezer Yoreh Deah,Responsa,Avraham Borenstein,Piotrkow,,avneinezeryorehdeah
אבני שיש,1930,רבי שאול ישועה אביטבול,ירושלים,"שו""ת",,https://files.dicta.org.il/avneishayish1/avneishayish1__text_files.zip,https://files.dicta.org.il/avneishayish1/avneishayish1__nikud_meteg_files.zip,https://files.dicta.org.il/avneishayish1/avneishayish1__ocr_data_html_files.zip,avneishayish1_EGT,Avnei Shayish,Responsa,rabbi shaul yeshua abitbul,Jerusalem,,avneishayish1
עבודת עבודה חלק א,1907,שלמה קלוגר,זולקוה,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/avodatavodah1/avodatavodah1__text_files.zip,https://files.dicta.org.il/avodatavodah1/avodatavodah1__nikud_meteg_files.zip,https://files.dicta.org.il/avodatavodah1/avodatavodah1__ocr_data_html_files.zip,avodatavodah1,Avodat Avodah part 1,Acharonim on Talmud Bavli,Shlomo Kluger,Zholkva,,avodatavodah1
עבודת הגרשוני,1861,רבי גרשון בן יצחק אשכנזי,לבוב,"שו""ת",,https://files.dicta.org.il/avodathagershuni/avodathagershuni__text_files.zip,https://files.dicta.org.il/avodathagershuni/avodathagershuni__nikud_meteg_files.zip,https://files.dicta.org.il/avodathagershuni/avodathagershuni__ocr_data_html_files.zip,avodathagershuni_EGT,Avodat HaGershuni,Responsa,Gershon Ashkenazi,,,avodathagershuni
עבודת לוי,1930,יעקב יצחק רודרמן,קיידאן,"מפרשים וחיבורים על הרמב""ם",,https://files.dicta.org.il/avodatlevi/avodatlevi__text_files.zip,https://files.dicta.org.il/avodatlevi/avodatlevi__nikud_meteg_files.zip,https://files.dicta.org.il/avodatlevi/avodatlevi__ocr_data_html_files.zip,avodatlevi_EGT,Avodat Levi,Commentaries on the Rambam,Yaakov Yitzchok Ruderman,,,avodatlevi
"אברהם יגל על הרמב""ם",1834,ר' אבהרם הכהן,ליוורנו,"מפרשים וחיבורים על הרמב""ם",ספריית דיקטה,https://files.dicta.org.il/avrahamyagelrambam/avrahamyagelrambam__text_files.zip,https://files.dicta.org.il/avrahamyagelrambam/avrahamyagelrambam__nikud_meteg_files.zip,https://files.dicta.org.il/avrahamyagelrambam/avrahamyagelrambam__ocr_data_html_files.zip,avrahamyagelrambam,Avraham Yagel (Rambam),Commentaries on the Rambam,Rabbi Avraham Hacohen,Levorno,,avrahamyagelrambam
אברהם יגל (על השולחן ערוך),1834,ר' אבהרם הכהן,ליוורנו,מפרשים וחיבורים סביב שולחן ערוך,ספריית דיקטה,https://files.dicta.org.il/avrahamyagelshulchanaruch/avrahamyagelshulchanaruch__text_files.zip,https://files.dicta.org.il/avrahamyagelshulchanaruch/avrahamyagelshulchanaruch__nikud_meteg_files.zip,https://files.dicta.org.il/avrahamyagelshulchanaruch/avrahamyagelshulchanaruch__ocr_data_html_files.zip,avrahamyagelshulchanaruch,Avraham Yagel (shulchan aruch),Commentaries on Shulchan Aruch,Rabbi Avraham Hacohen,Levorno,,avrahamyagelshulchanaruch
"אברהם יגל (על התנ""ך)",1834,ר' אבהרם הכהן,ליוורנו,"מפרשי התנ""ך",ספריית דיקטה,https://files.dicta.org.il/avrahamyageltanch/avrahamyageltanch__text_files.zip,https://files.dicta.org.il/avrahamyageltanch/avrahamyageltanch__nikud_meteg_files.zip,https://files.dicta.org.il/avrahamyageltanch/avrahamyageltanch__ocr_data_html_files.zip,avrahamyageltanch,Avraham Yagel (tanch),Bible Commentaries,Rabbi Avraham Hacohen,Levorno,,avrahamyageltanch
בעלי הנפש,1858,רבי אברהם בן דוד מפּוֹשְקְיֶרָה,לעמבערג,ספרי הלכה ומנהג,ספריית דיקטה,https://files.dicta.org.il/baaleihanefesh/baaleihanefesh__text_files.zip,https://files.dicta.org.il/baaleihanefesh/baaleihanefesh__nikud_meteg_files.zip,https://files.dicta.org.il/baaleihanefesh/baaleihanefesh__ocr_data_html_files.zip,baaleihanefesh,Ba’alei Ha-Nefesh,Halachah and Minhagim,Abraham ben David,Lemberg,,baaleihanefesh
"ב""ח",1834,רבי יואל בן שמואל סירקיש,אוסטרהא,"שו""ת",,https://files.dicta.org.il/bach/bach__text_files.zip,https://files.dicta.org.il/bach/bach__nikud_meteg_files.zip,https://files.dicta.org.il/bach/bach__ocr_data_html_files.zip,bach_EGT,bach,Responsa,rabbi Yoel ben Shmuel Sirkish,Austria,,bach
"שו""ת ברוך השם",1911,ר' משה רוטמן,ברדיצ'ב,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/baruchhashemresponsa/baruchhashemresponsa__text_files.zip,https://files.dicta.org.il/baruchhashemresponsa/baruchhashemresponsa__nikud_meteg_files.zip,https://files.dicta.org.il/baruchhashemresponsa/baruchhashemresponsa__ocr_data_html_files.zip,baruchhashemresponsa,Baruch HaShem Responsa,Responsa,moshe rotman,,,baruchhashemresponsa
ברוך שאמר,1905,ברוך תאומים-פרנקל,פיטרקוב,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/baruchsheamar/baruchsheamar__text_files.zip,https://files.dicta.org.il/baruchsheamar/baruchsheamar__nikud_meteg_files.zip,https://files.dicta.org.il/baruchsheamar/baruchsheamar__ocr_data_html_files.zip,baruchsheamar_EGT,Baruch She’amar,Acharonim on Talmud Bavli,Baruch ben Yehoshua Yechezkel Feivel Fränkel-Te'omim,פיטרקוב,,baruchsheamar
ברוך טעם,1902,ברוך תאומים-פרנקל,לובלין,ספרי מערכות ועניינים,,https://files.dicta.org.il/baruchtaam/baruchtaam__text_files.zip,https://files.dicta.org.il/baruchtaam/baruchtaam__nikud_meteg_files.zip,https://files.dicta.org.il/baruchtaam/baruchtaam__ocr_data_html_files.zip,baruchtaam_EGT,Baruch Ta’am,Chiddushim by Topic,Boruch Franekl Teumim,Lublin,,baruchtaam
בת עין,1869,ר' אברהם דוד מאבריטש,ז'יטומיר,ספרי חסידות,ספריית דיקטה,https://files.dicta.org.il/batayin/batayin__text_files.zip,https://files.dicta.org.il/batayin/batayin__nikud_meteg_files.zip,https://files.dicta.org.il/batayin/batayin__ocr_data_html_files.zip,batayin,Bat Ayin,Sifrei Chasidut,Rabbi Avraham David of Abritch,Zhytomyr,,batayin
בית נאמן,1891,רבי יצחק אייזק חבר,וורשה,ספרי מערכות ועניינים,ספריית דיקטה,https://files.dicta.org.il/bayitneeman/bayitneeman__text_files.zip,https://files.dicta.org.il/bayitneeman/bayitneeman__nikud_meteg_files.zip,https://files.dicta.org.il/bayitneeman/bayitneeman__ocr_data_html_files.zip,bayitneeman_EGT,Bayit Ne’eman,Chiddushim by Topic,Rabbi Yitzchak Isaac Hever,Warsaw,,bayitneeman
באר משה,1901,רבי משה נחום ירושלמסקי,ווארשא,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/beermosheresponsa/beermosheresponsa__text_files.zip,https://files.dicta.org.il/beermosheresponsa/beermosheresponsa__nikud_meteg_files.zip,https://files.dicta.org.il/beermosheresponsa/beermosheresponsa__ocr_data_html_files.zip,beermosheresponsa,Be’er Moshe responsa,Responsa,Moshe Nachum Yerushalamski,Warsaw,,beermosheresponsa
באר שבע,1890,רבי יששכר בער איילינברג,ורשא,"שו""ת",,https://files.dicta.org.il/beersheva/beersheva__text_files.zip,https://files.dicta.org.il/beersheva/beersheva__nikud_meteg_files.zip,https://files.dicta.org.il/beersheva/beersheva__ocr_data_html_files.zip,beersheva_EGT,Ba’er Sheva,Responsa,Issachar Be'ar Eilenburg,,,beersheva
באר שבע חולין,1890,רבי יששכר בער איילינברג,ורשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/beershevachullin/beershevachullin__text_files.zip,https://files.dicta.org.il/beershevachullin/beershevachullin__nikud_meteg_files.zip,https://files.dicta.org.il/beershevachullin/beershevachullin__ocr_data_html_files.zip,beershevachullin_EGT,Ba’er Sheva Chullin,Acharonim on Talmud Bavli,Issachar Be'ar Eilenburg,Warsaw,,beershevachullin
באר שבע הוריות,1890,רבי יששכר בער איילינברג,ורשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/beershevahorayot/beershevahorayot__text_files.zip,https://files.dicta.org.il/beershevahorayot/beershevahorayot__nikud_meteg_files.zip,https://files.dicta.org.il/beershevahorayot/beershevahorayot__ocr_data_html_files.zip,beershevahorayot_EGT,Ba’er Sheva Horayot,Acharonim on Talmud Bavli,Issachar Be'ar Eilenburg,Warsaw,,beershevahorayot
באר שבע כריתות,1890,רבי יששכר בער איילינברג,ורשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/beershevakritot/beershevakritot__text_files.zip,https://files.dicta.org.il/beershevakritot/beershevakritot__nikud_meteg_files.zip,https://files.dicta.org.il/beershevakritot/beershevakritot__ocr_data_html_files.zip,beershevakritot_EGT,Ba’er Sheva Kritot,Acharonim on Talmud Bavli,Issachar Be'ar Eilenburg,Warsaw,,beershevakritot
באר שבע סנהדרין,1890,רבי יששכר בער איילינברג,ורשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/beershevasanhedrin/beershevasanhedrin__text_files.zip,https://files.dicta.org.il/beershevasanhedrin/beershevasanhedrin__nikud_meteg_files.zip,https://files.dicta.org.il/beershevasanhedrin/beershevasanhedrin__ocr_data_html_files.zip,beershevasanhedrin_EGT,Ba’er Sheva Sanhedrin,Acharonim on Talmud Bavli,Issachar Be'ar Eilenburg,Warsaw,,beershevasanhedrin
באר שבע סוטה,1890,רבי יששכר בער איילינברג,ורשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/beershevasotah/beershevasotah__text_files.zip,https://files.dicta.org.il/beershevasotah/beershevasotah__nikud_meteg_files.zip,https://files.dicta.org.il/beershevasotah/beershevasotah__ocr_data_html_files.zip,beershevasotah_EGT,Ba’er Sheva Sotah,Acharonim on Talmud Bavli,Issachar Be'ar Eilenburg,Warsaw,,beershevasotah
באר שבע תמיד,1890,רבי יששכר בער איילינברג,ורשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/beershevatamid/beershevatamid__text_files.zip,https://files.dicta.org.il/beershevatamid/beershevatamid__nikud_meteg_files.zip,https://files.dicta.org.il/beershevatamid/beershevatamid__ocr_data_html_files.zip,beershevatamid_EGT,Ba’er Sheva Tamid,Acharonim on Talmud Bavli,Issachar Be'ar Eilenburg,Warsaw,,beershevatamid
באר י-הודה חלק ב,1885,ר' אברהם שלוזאוער,וורשה,"פרשים וחיבורים על הרמב""ם",ספריית דיקטה,https://files.dicta.org.il/beeryehudah2/beeryehudah2__text_files.zip,https://files.dicta.org.il/beeryehudah2/beeryehudah2__nikud_meteg_files.zip,https://files.dicta.org.il/beeryehudah2/beeryehudah2__ocr_data_html_files.zip,beeryehudah2_EGT,Beer Yehudah part 2,Commentaries on the Rambam,Avraham Shluzever,Warsaw,,beeryehudah2
באר יצחק חושן משפט,1859,רבי יצחק אלחנן בן ישראל ספקטור,קניגסברג,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/beeryitzchakchoshenmishpat/beeryitzchakchoshenmishpat__text_files.zip,https://files.dicta.org.il/beeryitzchakchoshenmishpat/beeryitzchakchoshenmishpat__nikud_meteg_files.zip,https://files.dicta.org.il/beeryitzchakchoshenmishpat/beeryitzchakchoshenmishpat__ocr_data_html_files.zip,beeryitzchakchoshenmishpat_EGT,Be'er Yitzchak Choshen Mishpat,Responsa,Yitzchak Elchanan Spektor,Koenigsberg,,beeryitzchakchoshenmishpat
באר יצחק אבן העזר,1859,רבי יצחק אלחנן בן ישראל ספקטור,קניגסברג,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/beeryitzchakevenhaezer/beeryitzchakevenhaezer__text_files.zip,https://files.dicta.org.il/beeryitzchakevenhaezer/beeryitzchakevenhaezer__nikud_meteg_files.zip,https://files.dicta.org.il/beeryitzchakevenhaezer/beeryitzchakevenhaezer__ocr_data_html_files.zip,beeryitzchakevenhaezer_EGT,Be'er Yitzchak Even Haezer,Responsa,Yitzchak Elchanan Spektor,Koenigsberg,,beeryitzchakevenhaezer
באר יצחק אורח חיים,1859,רבי יצחק אלחנן בן ישראל ספקטור,קניגסברג,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/beeryitzchakorachchaim/beeryitzchakorachchaim__text_files.zip,https://files.dicta.org.il/beeryitzchakorachchaim/beeryitzchakorachchaim__nikud_meteg_files.zip,https://files.dicta.org.il/beeryitzchakorachchaim/beeryitzchakorachchaim__ocr_data_html_files.zip,beeryitzchakorachchaim_EGT,Be'er Yitzchak Orach Chaim,Responsa,Yitzchak Elchanan Spektor,Koenigsberg,,beeryitzchakorachchaim
באר יצחק יורה דעה,1859,רבי יצחק אלחנן בן ישראל ספקטור,קניגסברג,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/beeryitzchakyorehdeah/beeryitzchakyorehdeah__text_files.zip,https://files.dicta.org.il/beeryitzchakyorehdeah/beeryitzchakyorehdeah__nikud_meteg_files.zip,https://files.dicta.org.il/beeryitzchakyorehdeah/beeryitzchakyorehdeah__ocr_data_html_files.zip,beeryitzchakyorehdeah,Be'er Yitzchak Yoreh Deah,Responsa,Yitzchak Elchanan Spektor,Koenigsberg,,beeryitzchakyorehdeah
"בית אהרן (ב""ק)",1923,"וואלקין, אהרן בן יעקב צבי",וילנה,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/beitaharonbavakamma/beitaharonbavakamma__text_files.zip,https://files.dicta.org.il/beitaharonbavakamma/beitaharonbavakamma__nikud_meteg_files.zip,https://files.dicta.org.il/beitaharonbavakamma/beitaharonbavakamma__ocr_data_html_files.zip,beitaharonbavakamma,Beit Aharon Bava Kamma,Acharonim on Talmud Bavli,"Volkin, Aharon",Vilna,,beitaharonbavakamma
"בית אהרן (ב""מ)",1905,"וואלקין, אהרן בן יעקב צבי",פיוטרקוב,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/beitaharonbavametzia/beitaharonbavametzia__text_files.zip,https://files.dicta.org.il/beitaharonbavametzia/beitaharonbavametzia__nikud_meteg_files.zip,https://files.dicta.org.il/beitaharonbavametzia/beitaharonbavametzia__ocr_data_html_files.zip,beitaharonbavametzia,Beit Aharon Bava Metzia,Acharonim on Talmud Bavli,"Volkin, Aharon",Piotrkow,,beitaharonbavametzia
בית אהרן גיטין,1939,"וואלקין, אהרן בן יעקב צבי",פינסק,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/beitaharongittin/beitaharongittin__text_files.zip,https://files.dicta.org.il/beitaharongittin/beitaharongittin__nikud_meteg_files.zip,https://files.dicta.org.il/beitaharongittin/beitaharongittin__ocr_data_html_files.zip,beitaharongittin,Beit Aharon Gittin,Acharonim on Talmud Bavli,"Volkin, Aharon",Pinsk,,beitaharongittin
בית א-ל א,1875,ר' אריה ליב נתנזון,לבוב,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/beitel1/beitel1__text_files.zip,https://files.dicta.org.il/beitel1/beitel1__nikud_meteg_files.zip,https://files.dicta.org.il/beitel1/beitel1__ocr_data_html_files.zip,beitel1,Beit el part 1,Acharonim on Talmud Bavli,Aryeh Leibush bar Yitzhak haLevi Natanson,Lʹviv,,beitel1
"בית א-להים (מבי""ט)",1872,ר' משה טראני,וורשה,ספרי מחשבה ומוסר (אחרונים),,https://files.dicta.org.il/beitelokimmabit/beitelokimmabit__text_files.zip,https://files.dicta.org.il/beitelokimmabit/beitelokimmabit__nikud_meteg_files.zip,https://files.dicta.org.il/beitelokimmabit/beitelokimmabit__ocr_data_html_files.zip,beitelokimmabit_EGT,Beit Elokim (Mabit),Mussar and Jewish Thought,Moses ben Joseph di Trani,Warsaw,,beitelokimmabit
בית אפרים חושן משפט,1883,רבי אפרים זלמן מרגליות,ורשא,"שו""ת",,https://files.dicta.org.il/beitephraimchoshenmishpat/beitephraimchoshenmishpat__text_files.zip,https://files.dicta.org.il/beitephraimchoshenmishpat/beitephraimchoshenmishpat__nikud_meteg_files.zip,https://files.dicta.org.il/beitephraimchoshenmishpat/beitephraimchoshenmishpat__ocr_data_html_files.zip,beitephraimchoshenmishpat_EGT,Beit Ephraim Choshen Mishpat,Responsa,Rabbi Ephraim Zalman Margolioth,Warsaw,,beitephraimchoshenmishpat
