underwentBerelUnflagging,categoryEnglish,printYear,ocrFeDir,printLocationEnglish,textFileURL,notHumanReviewed,category,source,author,printLocation,displayName,nikudMetegFileURL,OCRDataURL,authorEnglish,fileName,displayNameEnglish
,Commentaries on the Rambam,1930,avodatlevi_EGT,,https://files.dicta.org.il/avodatlevi/avodatlevi__text_files.zip,,"מפרשים וחיבורים על הרמב""ם",,יעקב יצחק רודרמן,קיידאן,עבודת לוי,https://files.dicta.org.il/avodatlevi/avodatlevi__nikud_meteg_files.zip,https://files.dicta.org.il/avodatlevi/avodatlevi__ocr_data_html_files.zip,Yaakov Yitzchok Ruderman,avodatlevi,Avodat Levi
,Commentaries on the Rambam,1834,avrahamyagelrambam,Levorno,https://files.dicta.org.il/avrahamyagelrambam/avrahamyagelrambam__text_files.zip,,"מפרשים וחיבורים על הרמב""ם",ספריית דיקטה,ר' אבהרם הכהן,ליוורנו,"אברהם יגל על הרמב""ם",https://files.dicta.org.il/avrahamyagelrambam/avrahamyagelrambam__nikud_meteg_files.zip,https://files.dicta.org.il/avrahamyagelrambam/avrahamyagelrambam__ocr_data_html_files.zip,Rabbi Avraham Hacohen,avrahamyagelrambam,Avraham Yagel (Rambam)
,Commentaries on Shulchan Aruch,1834,avrahamyagelshulchanaruch,Levorno,https://files.dicta.org.il/avrahamyagelshulchanaruch/avrahamyagelshulchanaruch__text_files.zip,,מפרשים וחיבורים סביב שולחן ערוך,ספריית דיקטה,ר' אבהרם הכהן,ליוורנו,אברהם יגל (על השולחן ערוך),https://files.dicta.org.il/avrahamyagelshulchanaruch/avrahamyagelshulchanaruch__nikud_meteg_files.zip,https://files.dicta.org.il/avrahamyagelshulchanaruch/avrahamyagelshulchanaruch__ocr_data_html_files.zip,Rabbi Avraham Hacohen,avrahamyagelshulchanaruch,Avraham Yagel (shulchan aruch)
,Bible Commentaries,1834,avrahamyageltanch,Levorno,https://files.dicta.org.il/avrahamyageltanch/avrahamyageltanch__text_files.zip,,"מפרשי התנ""ך",ספריית דיקטה,ר' אבהרם הכהן,ליוורנו,"אברהם יגל (על התנ""ך)",https://files.dicta.org.il/avrahamyageltanch/avrahamyageltanch__nikud_meteg_files.zip,https://files.dicta.org.il/avrahamyageltanch/avrahamyageltanch__ocr_data_html_files.zip,Rabbi Avraham Hacohen,avrahamyageltanch,Avraham Yagel (tanch)
,Halachah and Minhagim,1858,baaleihanefesh,Lemberg,https://files.dicta.org.il/baaleihanefesh/baaleihanefesh__text_files.zip,,ספרי הלכה ומנהג,ספריית דיקטה,רבי אברהם בן דוד מפּוֹשְקְיֶרָה,לעמבערג,בעלי הנפש,https://files.dicta.org.il/baaleihanefesh/baaleihanefesh__nikud_meteg_files.zip,https://files.dicta.org.il/baaleihanefesh/baaleihanefesh__ocr_data_html_files.zip,Abraham ben David,baaleihanefesh,Ba’alei Ha-Nefesh
,Responsa,1834,bach_EGT,Austria,https://files.dicta.org.il/bach/bach__text_files.zip,,"שו""ת",,רבי יואל בן שמואל סירקיש,אוסטרהא,"ב""ח",https://files.dicta.org.il/bach/bach__nikud_meteg_files.zip,https://files.dicta.org.il/bach/bach__ocr_data_html_files.zip,rabbi Yoel ben Shmuel Sirkish,bach,bach
,Bible Commentaries,1867,baerhetev,Vilna,https://files.dicta.org.il/baerhetev/baerhetev__text_files.zip,,"מפרשי התנ""ך",ספריית דיקטה,ר' אריה רבינוביץ',וילנה,"באר היטב (עה""ת)",https://files.dicta.org.il/baerhetev/baerhetev__nikud_meteg_files.zip,https://files.dicta.org.il/baerhetev/baerhetev__ocr_data_html_files.zip,rabbi arie rabinowitz,baerhetev,Baer Hetev (torah)
,Biurim veLikutim,1936,baitabba,Lvov,https://files.dicta.org.il/baitabba/baitabba__text_files.zip,,ביאורים וליקוטים,ספריית דיקטה,"גוטוירט, אליהו יהודה",לבוב,בית אבא,https://files.dicta.org.il/baitabba/baitabba__nikud_meteg_files.zip,https://files.dicta.org.il/baitabba/baitabba__ocr_data_html_files.zip,Eliyahu Yehudah Gutwirth,baitabba,Bait Abba
,Acharonim on Talmud Bavli,1899,baitavraham,Warsaw,https://files.dicta.org.il/baitavraham/baitavraham__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,ר' אברהם לנדא מצ'כנוב,ווארשא,בית אברהם לנדא,https://files.dicta.org.il/baitavraham/baitavraham__nikud_meteg_files.zip,https://files.dicta.org.il/baitavraham/baitavraham__ocr_data_html_files.zip,"Landau, Avraham",baitavraham,Bait Avraham (Landau)
,Derashot,1904,baitdovidderashot,Jerusalem,https://files.dicta.org.il/baitdovidderashot/baitdovidderashot__text_files.zip,,דרשות,ספריית דיקטה,"רובין, דוד טבל בן משה",ירושלים,בית דוד (דרשות),https://files.dicta.org.il/baitdovidderashot/baitdovidderashot__nikud_meteg_files.zip,https://files.dicta.org.il/baitdovidderashot/baitdovidderashot__ocr_data_html_files.zip,Dovid Tavil Rubin,baitdovidderashot,Bait Dovid (derashot)
,Responsa,1854,baitdovidresponsa,Warsaw,https://files.dicta.org.il/baitdovidresponsa/baitdovidresponsa__text_files.zip,,"שו""ת",ספריית דיקטה,"רובין, דוד טבל בן משה",ורשה,"שו""ת בית דוד",https://files.dicta.org.il/baitdovidresponsa/baitdovidresponsa__nikud_meteg_files.zip,https://files.dicta.org.il/baitdovidresponsa/baitdovidresponsa__ocr_data_html_files.zip,Dovid Tavil Rubin,baitdovidresponsa,Bait Dovid responsa
,Biurim veLikutim,1886,baiteliakum,Warsaw,https://files.dicta.org.il/baiteliakum/baiteliakum__text_files.zip,,ביאורים וליקוטים,ספריית דיקטה,"פודרוביניק, אליקום גצל מאיר בן יצחק",וורשה,בית אליקום,https://files.dicta.org.il/baiteliakum/baiteliakum__nikud_meteg_files.zip,https://files.dicta.org.il/baiteliakum/baiteliakum__ocr_data_html_files.zip,Eliakum Getsil Meir ben Yitzhak,baiteliakum,Bait Eliakum
,Chiddushim by Topic,1903,baithaotzar1,Piotrkow,https://files.dicta.org.il/baithaotzar1/baithaotzar1__text_files.zip,,ספרי מערכות ועניינים,ספריית דיקטה,ר' יוסף ענגיל,פיוטרקוב,בית האוצר חלק א,https://files.dicta.org.il/baithaotzar1/baithaotzar1__nikud_meteg_files.zip,https://files.dicta.org.il/baithaotzar1/baithaotzar1__ocr_data_html_files.zip,Yosef Engil,baithaotzar1,Bait haOtzar part 1
,Chiddushim by Topic,1908,baithaotzar2,Piotrkow,https://files.dicta.org.il/baithaotzar2/baithaotzar2__text_files.zip,,ספרי מערכות ועניינים,ספריית דיקטה,ר' יוסף ענגיל,פיוטרקוב,בית האוצר חלק ב,https://files.dicta.org.il/baithaotzar2/baithaotzar2__nikud_meteg_files.zip,https://files.dicta.org.il/baithaotzar2/baithaotzar2__ocr_data_html_files.zip,Yosef Engil,baithaotzar2,Bait haOtzar part 2
,Responsa,1911,baruchhashemresponsa,,https://files.dicta.org.il/baruchhashemresponsa/baruchhashemresponsa__text_files.zip,,"שו""ת",ספריית דיקטה,ר' משה רוטמן,ברדיצ'ב,"שו""ת ברוך השם",https://files.dicta.org.il/baruchhashemresponsa/baruchhashemresponsa__nikud_meteg_files.zip,https://files.dicta.org.il/baruchhashemresponsa/baruchhashemresponsa__ocr_data_html_files.zip,moshe rotman,baruchhashemresponsa,Baruch HaShem Responsa
,Acharonim on Talmud Bavli,1905,baruchsheamar_EGT,פיטרקוב,https://files.dicta.org.il/baruchsheamar/baruchsheamar__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,ברוך תאומים-פרנקל,פיטרקוב,ברוך שאמר,https://files.dicta.org.il/baruchsheamar/baruchsheamar__nikud_meteg_files.zip,https://files.dicta.org.il/baruchsheamar/baruchsheamar__ocr_data_html_files.zip,Baruch ben Yehoshua Yechezkel Feivel Fränkel-Te'omim,baruchsheamar,Baruch She’amar
,Chiddushim by Topic,1902,baruchtaam_EGT,Lublin,https://files.dicta.org.il/baruchtaam/baruchtaam__text_files.zip,,ספרי מערכות ועניינים,,ברוך תאומים-פרנקל,לובלין,ברוך טעם,https://files.dicta.org.il/baruchtaam/baruchtaam__nikud_meteg_files.zip,https://files.dicta.org.il/baruchtaam/baruchtaam__ocr_data_html_files.zip,Boruch Franekl Teumim,baruchtaam,Baruch Ta’am
,Sifrei Chasidut,1869,batayin,Zhytomyr,https://files.dicta.org.il/batayin/batayin__text_files.zip,,ספרי חסידות,ספריית דיקטה,ר' אברהם דוד מאבריטש,ז'יטומיר,בת עין,https://files.dicta.org.il/batayin/batayin__nikud_meteg_files.zip,https://files.dicta.org.il/batayin/batayin__ocr_data_html_files.zip,Rabbi Avraham David of Abritch,batayin,Bat Ayin
,Chiddushim by Topic,1891,bayitneeman_EGT,Warsaw,https://files.dicta.org.il/bayitneeman/bayitneeman__text_files.zip,,ספרי מערכות ועניינים,ספריית דיקטה,רבי יצחק אייזק חבר,וורשה,בית נאמן,https://files.dicta.org.il/bayitneeman/bayitneeman__nikud_meteg_files.zip,https://files.dicta.org.il/bayitneeman/bayitneeman__ocr_data_html_files.zip,Rabbi Yitzchak Isaac Hever,bayitneeman,Bayit Ne’eman
,Biurim veLikutim,1901,beermayimchaimnosinson,Vilna,https://files.dicta.org.il/beermayimchaimnosinson/beermayimchaimnosinson__text_files.zip,,ביאורים וליקוטים,ספריית דיקטה,ר' חיים נוסינסון,וילנה,באר מים חיים (נוסינזון),https://files.dicta.org.il/beermayimchaimnosinson/beermayimchaimnosinson__nikud_meteg_files.zip,https://files.dicta.org.il/beermayimchaimnosinson/beermayimchaimnosinson__ocr_data_html_files.zip,rabbi Chaim Nosinson,beermayimchaimnosinson,Beer Mayim Chaim (Nosinson)
