title,PubDate,pubPlace,compPlace,compDate,heShortDesc,order,heDesc
תורה אור, (1837 לספירה),קאפוסט / קופוסט,,,,,"״תורה אור״ הוא אחד מספרי היסוד של חסידות חב״ד שנכתב במאה ה-18 על ידי מייסד חסידות חב״ד - רבי שניאור זלמן מלאדי (מכונה גם: ״האדמו״ר הזקן״, ״בעל התניא״). ספר זה מכיל בתוכו מאות מאמרים בסגנון חסידי על: ספרי בראשית, שמות, מגילת אסתר ודרשה קצרה לחג הפסח. למעשה, ״תורה אור״ הוא החלק הראשון של החיבור, כאשר החלק השני שעוסק בספרים: ויקרא, במדבר ודברים - נקרא ״ליקוטי תורה״. הספר יצא לאור במאה ה-19 על ידי נכדו של רבי שניאור זלמן - הרב מנחם מנדל שניאורסון (״הצמח צדק״) שהיה מנהיגה השלישי של חסידות חב״ד."
בן פורת יוסף, (1781 לספירה),קוריץ,פולונה, (1760 – 1780 לספירה בקירוב),"דרשות על ספר בראשית מאת רבי יעקב יוסף הכהן מפולנאה, תלמידו המובהק של הבעל שם טוב.",,
קדושת לוי, (1798 לספירה),סלאוויטא,"ברדיצ'ב, אוקראינה", (1772 – 1798 לספירה בקירוב),,,
כתונת פסים, (1866 לספירה),"למברג, גליציה",פולונה, (1777 – 1783 לספירה בקירוב),,,"""כתונת פסים"" הוא קובץ דרשות על ספרי ויקרא ובמדבר, פרי עטו של רבי יעקב יוסף הכהן (שהיה תלמיד של הבעל שם טוב) מפולנאה, אוקראינה. הספר נכתב במאה ה-18 ופורסם לאחר פטירתו של המחבר. ""כתונת פסים"" מכיל דרשות בעלות אופי חסידי על סדר פרשיות השבוע שעוסקות, בין היתר, בפיתוח תורת ""החסיד והצדיק"" ושכלולה, בדגש על היבטים אישיים ופילוסופיים של הקשר בין החסיד והצדיק. סגנון הספר הוא דרשני ומשובץ מסורות ושמועות, אותן מביא המחבר בשם אומרן."
מגיד דבריו ליעקב, (1781 לספירה),קוריץ,, (1760 – 1780 לספירה בקירוב),,,"ליקוט של תורות מהמגיד ממעזריטש, נערך על ידי תלמידיו. (סופי תיבות של שם הספר הם אותיות ""דוב"".)"
מאור עינים, (1798 לספירה),סלאוויטא,צ'רנוביל, (1763 – 1797 לספירה בקירוב),,,"ספרו של המגיד מטשרנובל, נערך על ידי תלמידו ר' אליהו, במטרה לחזק ולהפיץ ברבים את תורת החסידות, והוא נחשב לאחד מספרי היסוד של תורת החסידות. הספר ערוך כפירוש על-פי דרך הדרש והמוסר על פרשיות השבוע והמועדים. בהרבה מהדורות של הספר נדפס גם ספרו השני של המחבר, ""ישמח לב"", על אגדות הש""ס."
נועם אלימלך, (1787 לספירה),"למברג, גליציה",, (1786 לספירה),,,"אחד מספרי היסוד של תנועת החסידות, המכיל שיחות דרשות ועיונים על פרשיות השבוע מהרבי אלימלך מליזענסק. גם נכלל בו חומר רב המפרט את האידאולוגיה ואת דרך החיים של החסידות. רבי אלימלך מדגיש במיוחד בספרו את מושג ה""צדיק"" ועל כן יש שכינוהו ""ספרן של צדיקים"". הספר לא נכתב על ידו, אלא נלקט מרשימות של התלמידים ונדפס על ידי בנו, אלעזר, שכותב בהקדמתו שקיבל רשות מאביו להדפיסם - אך רק אחרי מותו, ""מטעם כמוס"". (בספר יש כוכביות או כוכבים שהוצבו במקומות אקראיים לכאורה בטקסט. לפי המסורה יש לכוכבים אלה איזה משמעות כלשהי, ולכן הם כלולים כמעט בכל המהדורות המודפסות של הספר.)"
פרי הארץ, (1874 לספירה),ז'יטומיר / ורשה,, (1752 – 1788 לספירה בקירוב),,,"תורות ומאמרים של ר' מנחם מנדל מוויטעבסק, תלמיד המגיד ממעזריטש. הספר מכיל גם אגרות (שחלקם נכתבו על ידי תלמידו המובהק ויד ימינו, רבי אברהם מקאליסק) אשר נשלחו אל חסידיו במזרח אירופה. תוכנם של המכתבים כוללים דברי שבח וחיזוק חידוש ההתיישבות בארץ ישראל ובטבריה בפרט, בקשות לעזרה ולתמיכה כלכלית, וכן הוראות להחסידים שהשאיר מאחוריו בחוץ לארץ."
תולדות יעקב יוסף, (1780 לספירה),קוריץ,פולונה, (1780 לספירה),,,"ספר חסידות הראשון שראה אור הדפוס, מכיל את תורותיו של הבעל שם טוב כפי שנרשמו על ידי תלמידו הבכיר, יעקב יוסף כ""ץ מפולנאה. ספר זה נדפס ראשונה בקוריץ בשנת תק""מ, שנית במזיבוז בשנת תקע""ז, ואחר כך זכה להרבה מהדורות."
"צוואת הריב""ש", (1793 לספירה),,, (1730 – 1770 לספירה בקירוב),,,"בניגוד למשתמע משם הספר, אין זה צוואתו של הבעש""ט וגם לא נכתב על ידו, אלא הוא ליקוט של אמרות, הוראות והנהגות מהבעש""ט ומתלמידו, הרב המגיד."
צפנת פענח,,,,,,,
בית יעקב על התורה, (1906 לספירה),לובלין,, (1830 – 1870 לספירה בקירוב),,,
מי השלוח, (1859 – 1860 לספירה),וינה,איזביצה, (1840 – 1860 לספירה בקירוב),,,
שער האמונה ויסוד החסידות,,,, (1850 – 1890 לספירה בקירוב),,,"נכתב על ידי ר' גרשון חנוך העניך ליינר מראדזין כהקדמה ופתיחה לספרו של אביו, ""בית יעקב"".  בהספר מבואר עקרי ושרשי האמונה ויסודות הקבלה והחסידות."
סוד ישרים, (1902 – 1906 לספירה),,ראדזין, (1859 – 1889 לספירה בקירוב),,,
תפארת יוסף, (1960 לספירה),"ירושלים, ישראל",, (1885 – 1925 לספירה בקירוב),,,
אגרא דכלה, (1868 לספירה),"למברג, גליציה",, (1801 – 1841 לספירה בקירוב),,,
ערבי נחל, (1825 לספירה),סדילקוב,, (1780 – 1810 לספירה בקירוב),,,
עבודת ישראל, (1850 לספירה),למברג,קוז'יניצה, (1750 – 1810 לספירה בקירוב),,,
בעל שם טוב, (1793 – 1794 לספירה),ז'ובקבה,, (1700 – 1760 לספירה בקירוב),,,"ליקוט מתורת הבעש""ט על סדר פרשיות התורה, נקבצו מתוך יותר ממאתים מספרי תלמידיו, בתוספת קישורים להערות מאת המו""ל הנקראים 'מקור מים חיים.'"
בת עין,,,,,,,"״בת עין״ הוא ספר דברי תורה בן המאה ה־19 מאת רבי אברהם דוב מאברוטש – רב חסידי, תלמידם של רבי מנחם נחום מצ׳רנוביל, רבי מרדכי מצ׳רנוביל, רבי לוי יצחק מברדיצ׳ב ועוד. הספר נערך על־ידי תלמידיו של המחבר לפי דרשותיו בשבתות ובמועדים. הוא מסודר לפי סדר השנה, ועוסק בעיקר בפרשות השבוע ומועדי ישראל. בסופו מובאים ליקוטים שונים מדברי המחבר, בין השאר בנושא רעידת האדמה בצפת (1837), בנוסף לשאלות ותשובות בהלכה. בספר מודגשת מדת הענוה והשפלות, וכן משתקפת אהבתו של המחבר לארץ ישראל. ואכן רבי אברהם דוב מאברוטש עלה ארצה בשנת 1831 והשתקע בצפת."
באר מים חיים, (1820 לספירה),צ'רנוביץ,, (1775 – 1815 לספירה בקירוב),,,"אחד מספרי החסידות היסודיים על התורה, חיבר ר' חיים מטשרנוביץ, שגם נקרא על שם ספרו."
בית אהרן, (1875 לספירה),בראָד,קרלין, (1830 – 1870 לספירה בקירוב),,,"רובו של הספר הם תורות של ר' אהרן מקרלין (השני) לפרשת השבוע וחגים, אמרות חסידיות מלוקטות בשמו, ואגרות ששלח לחסידיו ולבנו. אך נוספו בו גם ליקוטים מכתבי זקנו ר' אהרן הגדול, אביו ר' אשר הראשון, ובנו ר' אשר השני. בראש הספר ובסופו מופיעים הנהגות שונות שכתבו אדמור""י קרלין לתלמידיהם."
בית ישראל (רוז'ין),,,,,,,
בני יששכר, (1845 לספירה),ז'ובקבה,, (1820 – 1840 לספירה בקירוב),,,"אחד מספרי החסידות החשובים והמצוטטים ביותר. הוא מתמקד בעיקר בעיונים בחגי ומועדי ישראל, ומסודר לפי חודשי השנה. המחבר כותב בהקדמתו ששם הספר מיוסד על הפסוק (דברי הימים א, יב, לג), ""ומבני יששכר יודעי בינה לעתים"" הרומז לעיסוקו בחגי ישראל. על פי מסורת בקרב בני משפחתו של המחבר, סיבה נוספת לשם הספר היא כי המחבר קיבל מרבו (החוזה מלובלין) כי הוא צאצא של שבט יששכר."
חיים וחסד, (1891 לספירה),ורשה,,,,,"״חיים וחסד״ הוא אוסף של מאמרי חסידות ודברי תורה מאת רבי חיים חייקא מאמדור, הידוע גם כר' חייקל אמדורר – אדמו""ר חסידי בדור השלישי של החסידות, מתלמידיו של המגיד ממעזריטש, מייסד חסידות אמדור ומהראשונים שהובילו את תנועת החסידות בליטא. הספר נשמר בגנזי רבי אהרן מקרלין, והתפרסם בוורשא בשנת 1891, כמאה שנים לאחר מותו של רבי חיים מאמדור.
אחד מן הרעיונות שנמצאים בספר הוא חשיבות ההתקשרות של החסידים לצדיק, כאשר הצדיק משמש עבור חסידיו כצינור אל הקב""ה."
"חידושי הרי""מ על התורה", (1870 לספירה),ורשה,, (1825 – 1865 לספירה בקירוב),,,"חידושים על התורה מהאדמו""ר הראשון של גור. מהדורה זו היא שילוב של שתי ספרים: ספר הזכות (וורשה, 1877) וחידושי הרי""ם וגור אריה (בילגוריי, 1912)."
דרכי ישרים, (1794 לספירה),,, (1764 לספירה),,,
דגל מחנה אפרים, (1810 לספירה),קוריץ,, (1770 – 1800 לספירה בקירוב),,,"אחד מספרי היסוד של תורת החסידות, נכתב על ידי ר' משה חיים אפרים מסדילקוב, שהיה נכד של הבעל שם טוב, והודפס על ידי בנו לאחר פטירתו. הספר מכיל הרבה רעיונות שהמחבר שמע ישירות מסבו, ובשל כך הוא מהווה אחד מהמקורות הראשוניים והמהימנים של תורת הבעש""ט. גם נכלל בו חלק מדרשותיו של המחבר שנאמרו בשנים שבהן כיהן כרבה של סדילקוב."
דברי אמת, (1808 לספירה),ז'ובקבה,, (1770 – 1810 לספירה בקירוב),,,
אמרי שפר, (1884 לספירה),לבוב,,,,,
עירין קדישין,,,,,,,
עירין קדישין תניינא,,,,,,,
עירין קדישין תליתאה,,,,,,,
כתר שם טוב, (1794 לספירה),ז'ובקבה,, (1877 – 1883 לספירה בקירוב),,,
מאור ושמש, (1842 לספירה),,, (1817 – 1823 לספירה בקירוב),,,"ספר חסידות עמוק ויסודי הכולל חידושים של אחד מגדולי החסידות, ר' קלונימוס קלמן הלוי עפשטיין מקראקא, על פרשיות התורה, הספר נערך על ידי בנו, ר' אהרן, בפיקוחו של אביו, והוא נחשב לספר יסוד בתורת החסידות, עד שהיו שכינוהו ""שולחן ערוך של החסידות""."
מראה יחזקאל על התורה, (1893 לספירה),,, (1800 – 1840 לספירה בקירוב),,,"""מראה יחזקאל"" הוא ספר מאת רבי יחזקאל פנט, מייסד חסידות דעש בעיר דז' שברומניה, וראשון מפיצי החסידות באזור במאה ה־19. הספר כתוב בשני חלקים: החלק הראשון על חמשה חומשי תורה הוא אוסף של דרושים ופירושים לפי סדר פרשות השבוע, והחלק השני הנקרא בשם ”שארית ציון” כולל דרושים על מקצת ממועדי ישראל ועל הגדה של פסח. בסוף הספר נוסף הספד על רבי ישראל עוזר וואהל, אב בית הדין בעיר מאדע (נירמדה שבהונגריה), ורבי משה אריה אסטרייכר, אב בית הדין בעיר קראלי (קאריי שברומניה). הספר נערך והוגה על ידי נכדו של המחבר - הרב צבי אלימלך פנט."
מקור מים חיים על בעל שם טוב, (1793 – 1794 לספירה),ז'ובקבה,, (1700 – 1760 לספירה בקירוב),,,"מקורות והערות לספר ""בעל שם טוב על התורה."""
מדרש פנחס, (1872 לספירה),לבוב,אוקראינה,,,,"מדרש פנחס הוא אוסף של סיפורי חסידים ודרשות שנאמרו על ידי רבי פנחס שפירא במאה ה-18 בבלארוס ובאוקריאנה. הספר נערך על בסיס רישומי תלמידיו. למרות שרבי פנחס שפירא נחשב כאחד מגדולי תלמידיו של הבעל שם טוב, ניתן לראות גם את חשיבתו העצמאית הנוטה יותר לחשיבה רציונלית."
אוהב ישראל, (1865 לספירה),ז'יטומיר / ורשה,, (1770 – 1820 לספירה בקירוב),,,
אור לשמים,,,,,,,"""אור לשמים"" הוא אוסף מאמרים מאת רבי מאיר הלוי רוטנברג מאפטא, אדמו""ר חסידי בן המאה ה־19, מתלמידיו של החוזה מלובלין ומכונן חסידות אפטא. החיבור נכתב על דרך הפרד""ס - כינוי לתורת הסוד היהודית, וכחיבור מן הסוג הזה הוא קבלי מטבעו. אמנם, מלבד המאמרים המסודרים לפי סדר פרשות השבוע, הספר מכיל גם מקצת חידושים בגמרא, בפוסקים ובתנ""ך, וכן שאלות ותשובות על דרך הפלפול."
שפת אמת, (1905 לספירה),פיוטרקוב טריבונלסקי / פיעטרקאוו,, (1860 – 1900 לספירה בקירוב),,,"מאמרים על סדר פרשיות התורה מהרב יהודה לייב אלתר, האדמו""ר מגור, הנחשב לאחד מספרי היסוד בתחום המחשבה החסידי. הכותרת של הספר מבוסס על המאמר האחרון שכתב, המסתיים עם המילים של הפסוק (משלי יב, יט) 'שפת אמת תיכון לעד'."
שם משמואל, (1930 לספירה),פיוטרקוב טריבונלסקי / פיעטרקאוו,, (1910 – 1926 לספירה בקירוב),,,"תורותיו של האדמו""ר ר' שמואל בורנשטיין מסוכטשוב (תרט""ז - תרפ""ו) על התורה ומועדי השנה."
"שבחי הבעש""ט", (1815 לספירה),קאפוסט / קופוסט,, (1780 – 1810 לספירה בקירוב),,,"קובץ של כמאתיים וחמישים סיפורים מחייו ופועלו של מייסד תנועת החסידות, ר' ישראל בעל שם טוב, נכתב על ידי דוב בער בן שמואל שהיה חתנו של מזכירו (כותב קמיעות ועוזרו האישי) של הבעל שם טוב."
סדורו של שבת, (1813 לספירה),מוהילב,, (1770 – 1810 לספירה בקירוב),,,
תפארת שלמה, (1867 לספירה),ורשה,ראדומסק , (1825 – 1865 לספירה בקירוב),,,
יקר מפז, (1871 לספירה),למברג,קוז'יניצה, (1750 – 1810 לספירה בקירוב),,,"השמטות מספר ""עבודת ישראל"" להמגיד מקוזניץ, כולל בתוכו חידושים על התורה ושולחן ערוך."
ישמח משה, (1849 לספירה),,, (1790 – 1840 לספירה בקירוב),,,"דרשות על התורה ונ""ך מאת רבי משה טייטלבוים מאוהעל, מגדולי החסידות בהונגריה."
יושר דברי אמת, (1792 לספירה),,, (1777 – 1792 לספירה),,,
זרע קודש, (1868 לספירה),לבוב,,,,,"״זרע קודש״ הוא חיבור חסידי הכולל בתוכו פירושים שונים על פרשות השבוע ומועדי ישראל. החלק הראשון של הספר דן בפרשות השבוע והחלק השני בחגים בדגש על חג הסוכות. החיבור נכתב על ידי האדמו""ר הראשון מרופשיץ, רבי נפתלי צבי הורוביץ, אך לא פורסם בחייו. תלמידו של המחבר, רבי חיים מצאנז, מחה על פרסומם בתחילה, אך לבסוף נתן אישור להדפסתם בשנת 1868."
בני מחשבה טובה,,,, (1917 – 1923 לספירה בקירוב),,,
חובת התלמידים, (1932 לספירה),ורשה,ורשה, (1928 – 1932 לספירה בקירוב),,,"ספר מוסר ותיקון המידות לצעירים על פי דרך החסידות, מאת רבי קלונימוס קלמיש שפירא, האדמו""ר מפיאסצ'נה."
דרך המלך, (1956 לספירה),תל אביב,, (1931 לספירה),,,
אש קודש, (1960 לספירה),ירושלים,ורשה, (1941 לספירה),,,
הכשרת האברכים, (1963 לספירה),תל אביב,, (1930 – 1940 לספירה בקירוב),,,"״הכשרת האברכים״ הוא ספר חסידות העוסק בענייני מוסר ותיקון המידות, מהמאה ה-20 שנכתב על ידי הרב קלונימוס קלמן שפירא (האדמו״ר מפיאסצנה) בפולין. הספר הוא הדרכה מעשית לבני ישיבות כיצד ללמוד תורה בצורה יותר אפקטיבית וכיצד לעבוד על מידות הנפש שלהם כדי להגיע למדרגות ״חסידות״ גבוהות. הספר מהווה גם כסוג של המשך לספר המוכר יותר של המחבר - ״חובת התלמידים״. הרב שפירא מדגיש בספר זה את החשיבות של הרגש בעבודת ה׳ ואף כולל בספרו כלים מעשיים כמו שימוש ב״דמיון מודרך״ המדריכים את קורא הספר כיצד להגיע להתרגשות בעבודת ה׳. האדמו״ר נרצח על קידוש השם בשנת 1943, במחנה הריכוז טרווניקי, פולין."
מבוא השערים, (1966 לספירה),"ירושלים, ישראל",, (1931 – 1943 לספירה בקירוב),,,"""מבוא השערים"" הוא חיבור מאמצע המאה ה-20 שנכתב על ידי הרב קלונימוס קלמן שפירא (המכונה גם ""האדמו""ר מפיאסצנה"") בפולין. הספר מהווה המשך לספרים אחרים של המחבר - חובות התלמידים והכשרת האברכים. הספר מורכב משיחות תיאורטיות של הרב שפירא על מהות הנבואה ותפקידו של החסיד בעולם, וכן הנחיות מעשיות לאדם כיצד עליו לצמוח ברוחניות. מבוא השערים נועד במקור להוות הקדמה לספר אחר שתכנן הרב שפירא לכתוב בשם - ""חובת האברכים"". הוא לא הספיק לכתוב ספר זה לפני שנרצח בשנת 1943 על ידי הנאצים במהלך השואה."
צו וזרוז, (1963 לספירה),תל אביב,, (1930 – 1940 לספירה בקירוב),,,"""צו וזירוז"" הוא קונטרס העוסק בהתפתחות והשתלמות אישית באמצעות רעיונות חסידיים. קונטרס זה נכתב במאה ה-20 על ידי הרב קלונימוס קלמיש שפירא, האדמו""ר מפיאסצנה, שפעל בפולין לפני ובמהלך ימי השואה. הקונטרס במקור נכתב כיומן אישי של הרב שפירא בו הוא העלה על הכתב רעיונות הגותיים וחינוכיים ושיתף בהתלבטויות רוחניות. את הקונטרס  היה נהוג להדפיס בתור נספח לספר אחר של הרב שפירא,""הכשרת האברכים"" (המיועד לתלמידי ישיבה מתקדמים בו מוסבר חשיבות הרגש בעבודת האל)."
דברי חלומות,,,, (1845 – 1895 לספירה בקירוב),,,חדושי תורה שנתגלו לר' צדוק מלובלין בחלומותיו.
דברי סופרים, (1927 לספירה),לובלין,, (1845 – 1895 לספירה בקירוב),,,
דובר צדק, (1911 לספירה),,, (1845 – 1895 לספירה בקירוב),,,
עת האוכל, (1901 לספירה),לובלין,, (1845 – 1895 לספירה בקירוב),,,מאמרים בענין תאוות האכילה ופרישות
קומץ המנחה, (1939 לספירה),לובלין,, (1845 – 1895 לספירה בקירוב),,,
ספר ליקוטי מאמרים,,,, (1845 – 1895 לספירה בקירוב),,,
מחשבות חרוץ, (1912 לספירה),לובלין,, (1845 – 1895 לספירה בקירוב),,,
משיב הטענה, (1929 לספירה),ורשה,וילקובישק, (1842 לספירה),,,"בנוסף ליצירות החסידות שבהן התפרסם רבי צדוק הכהן מלובלין בן המאה ה-19, הוא חיבר חיבורים הלכתיים רבים, ביניהם קונטרסים שנכתבו כהפרכה לטענות בנושאים ספציפיים. אחד מהם, ״משיב הטענה״, מותח ביקורת על עבודה קצרה בשם ״מגילת טענות״, הדנה בחישובים אסטרונומיים ובלוח השנה היהודי, לרבות כיצד לטפל בהתנגשויות בין המסורת הרבנית למדע המודרני. הוא פורסם יחד עם ספר הזכרונות של רבי צדוק, תקציר רשימת 613 המצוות לפי מניין הרמב""ם."
משיב צדק, (1921 לספירה),פיוטרקוב טריבונלסקי / פיעטרקאוו,, (1831 – 1881 לספירה בקירוב),,,"בנוסף לכתביו ופועלו בחסידות עבורם התפרסם רבי צדוק הכהן מלובלין, פרסם רבי צדוק שלל חיבורים הלכתיים, ובכללם כמה שהוקדשו במלואם לנושא אחד בודד. ”משיב צדק” עוסק באריכות בברור דין ישיבה בסוכה בשמיני עצרת, בין השאר מצד איסור ”בל תוסיף”, תוך התייחסות למקורות ההלכתיים המתאימים ולדעותיהם של גאונים, ראשונים ואחרונים בנושא. החיבור נדפס יחד עם ארבעה דרושים שדרש רבי צדוק בבר מצווה שלו."
אור זרוע לצדיק, (1929 לספירה),לובלין,, (1845 – 1895 לספירה בקירוב),,,עיונים בענין גלות מצרים ומאמרים על לשון הקודש
פרי צדיק,,,, (1845 – 1895 לספירה בקירוב),,,פירוש על התורה של ר' צדוק הכהן מלובלין.
פוקד עקרים, (1921 – 1922 לספירה),לובלין,, (1845 – 1895 לספירה בקירוב),,,
רסיסי לילה, (1903 לספירה),לובלין,, (1845 – 1895 לספירה בקירוב),,,
שיחת מלאכי השרת, (1927 לספירה),לובלין,, (1845 – 1895 לספירה בקירוב),,,"ביאורים על עניינם ותפקידם של המלאכים, ומדרגתם לעומת ישראל, כפי שנמצא אודותם בתלמוד ובמדרשים."
שיחת שדים, (1927 לספירה),לובלין,, (1845 – 1895 לספירה בקירוב),,,"ביאורים על קיומם וענינם של השדים, כפי שנמצא אודותם בתלמוד ובמדרשים."
תקנת השבין, (1926 לספירה),,, (1845 – 1895 לספירה בקירוב),,,מאמרים בענין התשובה מהרב צדוק הכהן
צדקת הצדיק, (1902 לספירה),,, (1845 – 1895 לספירה בקירוב),,,
ישראל קדושים, (1928 לספירה),לובלין,, (1845 – 1895 לספירה בקירוב),,,
אהבת חסד, (1888 לספירה),,,,,,
כף אחת, (1815 לספירה),"פיזה, איטליה",, (1768 – 1792 לספירה בקירוב),,,
קשר גודל, (1793 – 1794 לספירה),"ליבורנו, איטליה",, (1768 – 1792 לספירה בקירוב),,,"דיני תפילה מאת ר' חיים יוסף דוד אזולאי (חיד""א)."
מורה באצבע, (1781 לספירה),"ליבורנו, איטליה",, (1751 – 1781 לספירה בקירוב),,,"דיני תפילה והנהגות מוסריות לכל השנה מאת ר' חיים יוסף דוד אזולאי (חיד""א)."
סנסן ליאיר,,,, (1768 – 1792 לספירה בקירוב),,,"תפילות מיוחדות לזמנים שונים מאת ר' חיים יוסף דוד אזולאי (חיד""א)"
שומר ישראל, (1815 – 1816 לספירה),"פיזה, איטליה",, (1768 – 1792 לספירה בקירוב),,,"תפילות לשמירה ממזיקים רוחניים מלוקטים על ידי ר' חיים יוסף דוד אזולאי (חיד""א)."
צפורן שמיר, (1842 לספירה),"ליבורנו, איטליה",, (1768 – 1792 לספירה בקירוב),,,"דיני תפילה והנהגות מוסריות לכל השנה מאת ר' חיים יוסף דוד אזולאי (חיד""א)."
יוסף בסדר, (1801 לספירה),,, (1751 – 1781 לספירה בקירוב),,,"תפילות והנהגות לזמנים שונים מאת ר' חיים יוסף דוד אזולאי (חיד""א)"
חפץ חיים, (1873 לספירה),וילנה,ראדין, (1873 לספירה),,,
עין התכלת, (1891 לספירה),ורשה,, (1850 – 1890 לספירה בקירוב),,,"תגובתו של רבי גרשון חנוך העניך ליינר (האדמו""ר השלישי של חסידות איזביצה-ראדזין) לביקורת על חיבורו  'שפוני טמוני חול'."
גדר עולם, (1889 לספירה),ורשה,ראדין, (1861 – 1889 לספירה בקירוב),,,
גבורת אנשים, (1697 לספירה),"דסאו, גרמניה",, (1840 – 1860 לספירה בקירוב),,,"חובר על ידי ר' שבתי הכהן (בעל הש""ך). עוסק בנסיבות ובתנאים שבהם ניתן לאלץ גבר להעניק גט לאשתו."
הלכות תלמוד תורה,,,, (1760 – 1810 לספירה בקירוב),,,
קסת הסופר, (1835 לספירה),אונגוואר,"ברזובקה, סלובניה", (1835 לספירה),,,"הלכות ספרות (כתיבת ספר תורה, תפלין ומזוזות) מבעל ה""קיצור שלחן ערוך""."
קול יעקב על שולחן ערוך,,,,,,,
קונטרס אחרון על שולחן ערוך הרב,,,,,,,
מעשה רב, (1832 לספירה),וילנה,צפת, (1809 – 1813 לספירה בקירוב),,,
מטה אפרים, (1834 לספירה),ז'ובקבה,בראָד, (1795 – 1825 לספירה בקירוב),,,הלכות ומנהגים הנהוגים מראש חודש אלול עד אחר יום כיפור וקצת מדיני סוכות לפי סדר סימני השלחן ערוך. גם נכלל בו דיני קדיש יתום.
נהר מצרים, (1908 לספירה),אלכסנדריה,אלכסנדריה, (1908 לספירה),,,"אוסף של מנהגי מצרים ותקנותיה, נכתב ע""י רב רפאל אהרן בן שמעון, שהיה רבה הראשי של קהיר במצרים."
פתיל תכלת, (1888 לספירה),ורשה,ראדזין, (1888 לספירה),,,
סדר היום, (1599 לספירה),ונציה,,,,,
שערי אפרים, (1820 לספירה),דובנו,בראָד, (1780 – 1820 לספירה),,,
